INDEX,LANGUAGE,TEXT
0,en,CM_
1,en,GM_
2,en,fuck
3,en,null
4,en,bastard
5,en,motherfucker
6,en,bitch
7,en,cunt
8,en,fuck
9,en,FUCK YOU
10,en,piss
11,en,shit
12,en,suck
13,en,Bastard
14,en,pennis
15,en,sex
16,en,sucker
17,en,bitch
18,en,boxun
19,en,pussy
20,en,cunt
21,en,dick
22,en,fuck
23,en,gm
24,en,p1SS
25,en,pcik
26,en,piss
27,en,shit
28,en,suck
29,en,sex
30,en,whore
31,en,admin
32,en,game master
33,en,gamemaster
34,en,GameΜaster
35,en,gmhothead
36,en,4r5e
37,en,5h1t
38,en,5hit
39,en,a55
40,en,anal
41,en,anus
42,en,ar5e
43,en,arrse
44,en,arse
45,en,ass
46,en,ass-fucker
47,en,asses
48,en,assfucker
49,en,assfukka
50,en,asshole
51,en,assholes
52,en,asswhole
53,en,b!tch
54,en,b00bs
55,en,b17ch
56,en,b1tch
57,en,ballbag
58,en,balls
59,en,ballsack
60,en,bastard
61,en,beastial
62,en,beastiality
63,en,bellend
64,en,bestial
65,en,bestiality
66,en,bi+ch
67,en,biatch
68,en,bitch
69,en,bitcher
70,en,bitchers
71,en,bitches
72,en,bitchin
73,en,bitching
74,en,bloody
75,en,blow job
76,en,blowjob
77,en,blowjobs
78,en,boiolas
79,en,bollock
80,en,bollok
81,en,boner
82,en,boob
83,en,boobs
84,en,booobs
85,en,boooobs
86,en,booooobs
87,en,booooooobs
88,en,breasts
89,en,buceta
90,en,bugger
91,en,bum
92,en,bunny fucker
93,en,butt
94,en,butthole
95,en,buttmuch
96,en,buttplug
97,en,c0ck
98,en,c0cksucker
99,en,carpet muncher
100,en,cawk
101,en,chink
102,en,cipa
103,en,cl1t
104,en,clit
105,en,clitoris
106,en,clits
107,en,cnut
108,en,cock
109,en,cock-sucker
110,en,cockface
111,en,cockhead
112,en,cockmunch
113,en,cockmuncher
114,en,cocks
115,en,cocksuck
116,en,cocksucked
117,en,cocksucker
118,en,cocksucking
119,en,cocksucks
120,en,cocksuka
121,en,cocksukka
122,en,cok
123,en,cokmuncher
124,en,coksucka
125,en,coon
126,en,cox
127,en,crap
128,en,cum
129,en,cummer
130,en,cumming
131,en,cums
132,en,cumshot
133,en,cunilingus
134,en,cunillingus
135,en,cunnilingus
136,en,cunt
137,en,cuntlick
138,en,cuntlicker
139,en,cuntlicking
140,en,cunts
141,en,cyalis
142,en,cyberfuc
143,en,cyberfuck
144,en,cyberfucked
145,en,cyberfucker
146,en,cyberfuckers
147,en,cyberfucking
148,en,d1ck
149,en,damn
150,en,dick
151,en,dickhead
152,en,dildo
153,en,dildos
154,en,dink
155,en,dinks
156,en,dirsa
157,en,dlck
158,en,dog-fucker
159,en,doggin
160,en,dogging
161,en,donkeyribber
162,en,doosh
163,en,duche
164,en,dyke
165,en,ejaculate
166,en,ejaculated
167,en,ejaculates
168,en,ejaculating
169,en,ejaculatings
170,en,ejaculation
171,en,ejakulate
172,en,f u c k e r
173,en,f4nny
174,en,fag
175,en,fagging
176,en,faggitt
177,en,faggot
178,en,faggs
179,en,fagot
180,en,fagots
181,en,fags
182,en,fanny
183,en,fannyflaps
184,en,fannyfucker
185,en,fanyy
186,en,fatass
187,en,fcuk
188,en,fcuker
189,en,fcuking
190,en,feck
191,en,fecker
192,en,felching
193,en,fellate
194,en,fellatio
195,en,fingerfuck
196,en,fingerfucked
197,en,fingerfucker
198,en,fingerfuckers
199,en,fingerfucking
200,en,fingerfucks
201,en,fistfuck
202,en,fistfucked
203,en,fistfucker
204,en,fistfuckers
205,en,fistfucking
206,en,fistfuckings
207,en,fistfucks
208,en,flange
209,en,fook
210,en,fooker
211,en,fuck
212,en,fucka
213,en,fucked
214,en,fucker
215,en,fuckers
216,en,fuckhead
217,en,fuckheads
218,en,fuckin
219,en,fucking
220,en,fuckings
221,en,fuckingshitmotherfucker
222,en,fuckme
223,en,fucks
224,en,fuckwhit
225,en,fuckwit
226,en,fudge packer
227,en,fudgepacker
228,en,fuk
229,en,fuker
230,en,fukker
231,en,fukkin
232,en,fuks
233,en,fukwhit
234,en,fukwit
235,en,fux
236,en,fux0r
237,en,gangbang
238,en,gangbanged
239,en,gangbangs
240,en,gaylord
241,en,gaysex
242,en,goatse
243,en,God
244,en,god-dam
245,en,god-damned
246,en,goddamn
247,en,goddamned
248,en,hardcoresex
249,en,hell
250,en,heshe
251,en,hoar
252,en,hoare
253,en,hoer
254,en,homo
255,en,hore
256,en,horniest
257,en,horny
258,en,hotsex
259,en,jack-off
260,en,jackoff
261,en,jap
262,en,jerk-off
263,en,jism
264,en,jiz
265,en,jizm
266,en,jizz
267,en,kawk
268,en,knob
269,en,knobead
270,en,knobed
271,en,knobend
272,en,knobhead
273,en,knobjocky
274,en,knobjokey
275,en,kock
276,en,kondum
277,en,kondums
278,en,kum
279,en,kummer
280,en,kumming
281,en,kums
282,en,kunilingus
283,en,l3i+ch
284,en,l3itch
285,en,labia
286,en,lmfao
287,en,lust
288,en,lusting
289,en,m0f0
290,en,m0fo
291,en,m45terbate
292,en,ma5terb8
293,en,ma5terbate
294,en,masochist
295,en,master-bate
296,en,masterb8
297,en,masterbat*
298,en,masterbat3
299,en,masterbate
300,en,masterbation
301,en,masterbations
302,en,masturbate
303,en,mo-fo
304,en,mof0
305,en,mofo
306,en,mothafuck
307,en,mothafucka
308,en,mothafuckas
309,en,mothafuckaz
310,en,mothafucked
311,en,mothafucker
312,en,mothafuckers
313,en,mothafuckin
314,en,mothafucking
315,en,mothafuckings
316,en,mothafucks
317,en,mother fucker
318,en,motherfuck
319,en,motherfucked
320,en,motherfucker
321,en,motherfuckers
322,en,motherfuckin
323,en,motherfucking
324,en,motherfuckings
325,en,motherfuckka
326,en,motherfucks
327,en,muff
328,en,mutha
329,en,muthafecker
330,en,muthafuckker
331,en,muther
332,en,mutherfucker
333,en,n1gga
334,en,n1gger
335,en,nazi
336,en,nigg3r
337,en,nigg4h
338,en,nigga
339,en,niggah
340,en,niggas
341,en,niggaz
342,en,nigger
343,en,nigger
344,en,niggers
345,en,nob
346,en,nob jokey
347,en,nobhead
348,en,nobjocky
349,en,nobjokey
350,en,numbnuts
351,en,nutsack
352,en,orgasim
353,en,orgasims
354,en,orgasm
355,en,orgasms
356,en,p0rn
357,en,pawn
358,en,pecker
359,en,penis
360,en,penisfucker
361,en,phonesex
362,en,phuck
363,en,phuk
364,en,phuked
365,en,phuking
366,en,phukked
367,en,phukking
368,en,phuks
369,en,phuq
370,en,pigfucker
371,en,pimpis
372,en,piss
373,en,pissed
374,en,pisser
375,en,pissers
376,en,pisses
377,en,pissflaps
378,en,pissin
379,en,pissing
380,en,pissoff
381,en,poop
382,en,porn
383,en,porno
384,en,pornography
385,en,pornos
386,en,prick
387,en,pricks
388,en,pron
389,en,pube
390,en,pusse
391,en,pussi
392,en,pussies
393,en,pussy
394,en,pussys
395,en,rectum
396,en,retard
397,en,rimjaw
398,en,rimming
399,en,s hit
400,en,s.o.b.
401,en,sadist
402,en,schlong
403,en,screwing
404,en,scroat
405,en,scrote
406,en,scrotum
407,en,semen
408,en,sex
409,en,sh!+
410,en,sh!t
411,en,sh1t
412,en,shag
413,en,shagger
414,en,shaggin
415,en,shagging
416,en,shemale
417,en,shi+
418,en,shit
419,en,shitdick
420,en,shite
421,en,shited
422,en,shitey
423,en,shitfuck
424,en,shitfull
425,en,shithead
